Area,Total,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Number of victim officers,527,68,48,72,53,48,49,45,45,52,47
NORTHEAST,70,11,6,8,8,9,5,8,5,5,5
New England,15,1,2,3,2,4,0,1,0,1,1
Connecticut,3,1,0,2,0,0,0,0,0,0,0
Maine,2,0,0,0,1,0,0,0,0,0,1
Massachusetts,9,0,2,1,1,3,0,1,0,1,0
New Hampshire,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,1,0,0,0,0,1,0,0,0,0,0
Vermont,0,0,0,0,0,0,0,0,0,0,0
Middle Atlantic,55,10,4,5,6,5,5,7,5,4,4
New Jersey,15,2,0,4,1,1,0,2,3,2,0
New York,25,3,3,1,5,2,3,3,0,2,3
Pennsylvania,15,5,1,0,0,2,2,2,2,0,1
MIDWEST,73,5,9,14,7,3,4,4,6,12,9
East North Central,49,5,6,7,3,3,4,3,4,8,6
Illinois,12,0,0,3,0,1,2,1,1,2,2
Indiana,7,2,2,2,0,0,0,1,0,0,0
Michigan,11,0,2,0,1,0,1,1,2,2,2
Ohio,12,2,1,1,2,1,1,0,0,3,1
Wisconsin,7,1,1,1,0,1,0,0,1,1,1
West North Central,24,0,3,7,4,0,0,1,2,4,3
Iowa,4,0,0,0,1,0,0,0,0,3,0
Kansas,3,0,0,2,0,0,0,0,0,1,0
Minnesota,1,0,0,0,0,0,0,0,0,0,1
Missouri,13,0,2,4,3,0,0,1,2,0,1
Nebraska,2,0,1,0,0,0,0,0,0,0,1
North Dakota,0,0,0,0,0,0,0,0,0,0,0
South Dakota,1,0,0,1,0,0,0,0,0,0,0
SOUTH,277,32,21,39,27,28,31,19,29,24,27
South Atlantic,119,14,12,16,16,14,9,4,12,8,14
Delaware,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,1,0,0,1,0,0,0,0,0,0,0
Florida,23,4,1,4,1,2,1,1,1,4,4
Georgia,30,3,2,3,6,4,2,1,5,2,2
Maryland,15,3,0,3,2,3,0,0,3,1,0
North Carolina,14,2,3,0,4,2,1,1,0,1,0
South Carolina,14,1,2,2,1,0,2,0,2,0,4
Virginia,20,1,3,3,2,3,3,1,1,0,3
West Virginia,2,0,1,0,0,0,0,0,0,0,1
East South Central,49,4,4,6,3,3,7,7,9,1,5
Alabama,14,2,1,0,2,1,3,2,2,0,1
Kentucky,5,0,0,1,0,1,0,0,2,0,1
Mississippi,14,1,2,2,0,0,4,2,2,0,1
Tennessee,16,1,1,3,1,1,0,3,3,1,2
West South Central,109,14,5,17,8,11,15,8,8,15,8
Arkansas,9,2,1,0,0,0,4,0,0,1,1
Louisiana,21,0,1,3,3,2,3,1,2,5,1
Oklahoma,14,3,1,1,0,2,2,2,1,0,2
Texas,65,9,2,13,5,7,6,5,5,9,4
WEST,100,17,12,11,10,8,9,13,5,9,6
Mountain,45,6,8,4,4,6,4,4,2,5,2
Arizona,13,2,1,1,2,1,2,2,0,2,0
Colorado,8,0,0,0,0,4,0,1,2,1,0
Idaho,2,0,2,0,0,0,0,0,0,0,0
Montana,3,1,1,0,1,0,0,0,0,0,0
Nevada,5,1,2,0,0,0,1,0,0,0,1
New Mexico,8,1,2,1,0,0,1,1,0,1,1
Utah,5,1,0,2,0,1,0,0,0,1,0
Wyoming,1,0,0,0,1,0,0,0,0,0,0
Pacific,55,11,4,7,6,2,5,9,3,4,4
Alaska,1,0,0,0,0,0,1,0,0,0,0
California,47,11,3,6,5,0,3,9,2,4,4
Hawaii,3,0,0,0,1,2,0,0,0,0,0
Oregon,1,0,0,0,0,0,0,0,1,0,0
Washington,3,0,1,1,0,0,1,0,0,0,0
PUERTO RICO AND OTHER OUTLYING AREAS,7,3,0,0,1,0,0,1,0,2,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0
Mariana Islands,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,6,2,0,0,1,0,0,1,0,2,0
U.S. Virgin Islands,1,1,0,0,0,0,0,0,0,0,0
