Area,Total,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Number of victim officers,496,41,48,55,72,49,27,51,41,66,46
NORTHEAST,50,3,7,3,10,6,2,8,4,4,3
New England,6,0,0,1,0,2,1,1,0,1,0
Connecticut,0,0,0,0,0,0,0,0,0,0,0
Maine,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,4,0,0,1,0,1,1,0,0,1,0
New Hampshire,2,0,0,0,0,1,0,1,0,0,0
Rhode Island,0,0,0,0,0,0,0,0,0,0,0
Vermont,0,0,0,0,0,0,0,0,0,0,0
Middle Atlantic,44,3,7,2,10,4,1,7,4,3,3
New Jersey,4,0,1,0,2,0,0,1,0,0,0
New York,17,0,0,0,4,2,1,5,2,1,2
Pennsylvania,23,3,6,2,4,2,0,1,2,2,1
MIDWEST,92,9,5,10,21,6,4,8,5,13,11
East North Central,55,6,2,8,12,2,3,5,3,6,8
Illinois,14,3,2,4,1,0,1,0,1,0,2
Indiana,8,0,0,0,2,0,1,3,0,1,1
Michigan,14,1,0,3,4,1,1,0,0,2,2
Ohio,14,2,0,1,4,1,0,1,1,2,2
Wisconsin,5,0,0,0,1,0,0,1,1,1,1
West North Central,37,3,3,2,9,4,1,3,2,7,3
Iowa,5,0,0,0,1,0,1,0,0,2,1
Kansas,7,0,1,0,1,2,0,1,0,2,0
Minnesota,7,0,1,2,1,1,0,1,1,0,0
Missouri,11,3,0,0,3,1,0,1,0,2,1
Nebraska,1,0,0,0,0,0,0,0,1,0,0
North Dakota,3,0,0,0,1,0,0,0,0,1,1
South Dakota,3,0,1,0,2,0,0,0,0,0,0
SOUTH,219,20,21,22,29,22,15,17,19,30,24
South Atlantic,98,13,7,11,18,10,5,10,3,13,8
Delaware,4,0,1,0,1,0,0,0,0,0,2
District of Columbia,0,0,0,0,0,0,0,0,0,0,0
Florida,28,3,3,4,6,2,2,4,1,0,3
Georgia,22,2,0,5,3,1,0,2,1,7,1
Maryland,6,1,0,1,0,0,1,0,0,2,1
North Carolina,14,2,3,1,2,3,0,2,0,1,0
South Carolina,8,2,0,0,2,1,0,1,1,1,0
Virginia,11,3,0,0,3,0,1,1,0,2,1
West Virginia,5,0,0,0,1,3,1,0,0,0,0
East South Central,35,2,5,4,6,5,3,0,5,4,1
Alabama,8,0,4,1,1,2,0,0,0,0,0
Kentucky,5,1,0,0,0,1,1,0,2,0,0
Mississippi,11,0,0,3,1,1,2,0,2,1,1
Tennessee,11,1,1,0,4,1,0,0,1,3,0
West South Central,86,5,9,7,5,7,7,7,11,13,15
Arkansas,9,0,1,2,1,0,0,1,1,1,2
Louisiana,23,2,0,3,0,2,1,1,6,4,4
Oklahoma,4,0,2,0,0,0,0,0,0,0,2
Texas,50,3,6,2,4,5,6,5,4,8,7
WEST,110,9,13,17,10,9,6,14,9,17,6
Mountain,51,2,2,10,5,5,1,7,7,8,4
Arizona,17,2,0,4,3,2,0,3,0,2,1
Colorado,10,0,1,1,2,1,0,0,2,2,1
Idaho,1,0,0,0,0,0,0,0,1,0,0
Montana,4,0,0,2,0,0,0,1,0,0,1
Nevada,6,0,0,1,0,1,0,2,1,0,1
New Mexico,6,0,1,0,0,0,0,0,3,2,0
Utah,7,0,0,2,0,1,1,1,0,2,0
Wyoming,0,0,0,0,0,0,0,0,0,0,0
Pacific,59,7,11,7,5,4,5,7,2,9,2
Alaska,5,0,0,2,0,0,0,2,0,1,0
California,38,3,5,5,3,2,5,5,2,6,2
Hawaii,0,0,0,0,0,0,0,0,0,0,0
Oregon,5,2,0,0,2,0,0,0,0,1,0
Washington,11,2,6,0,0,2,0,0,0,1,0
PUERTO RICO AND OTHER OUTLYING AREAS,25,0,2,3,2,6,0,4,4,2,2
American Samoa,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0
Mariana Islands,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,24,0,2,3,2,5,0,4,4,2,2
U.S. Virgin Islands,1,0,0,0,0,1,0,0,0,0,0
