"","Skill","Percentage"
"1","data analysis","55.69"
"2","r","48.01"
"3","python","46.31"
"4","data mining","45.94"
"5","machine learning","45.32"
"6","statistics","41.52"
"7","sql","39"
"8","analytics","35.16"
"9","matlab","30.55"
"10","java","30.02"
"11","statistical modeling","27.15"
"12","algorithm design","27.04"
"13","c++","25.99"
"14","business intelligence","23.78"
"15","big data","23.68"
"16","sas","22.78"
"17","hadoop","20.98"
"18","programming","19.77"
"19","research","19.7"
"20","software engineering","19.51"
