"Skill_Type","Skill","Site","N_Records","Pct_Postings"
"Software/Language Skill","Javascript","LinkedIn",328,3.81
"Software/Language Skill","Scikit-learn","LinkedIn",474,5.51
"Software/Language Skill","Sql","LinkedIn",3879,45.05
"General Skill","Analysis","LinkedIn",5168,60.02
"General Skill","Data engineering","LinkedIn",514,5.97
"Software/Language Skill","Mysql","LinkedIn",278,3.23
"General Skill","Communication","LinkedIn",3404,39.54
"Software/Language Skill","Hbase","LinkedIn",302,3.51
"Software/Language Skill","Tensorflow","LinkedIn",844,9.8
"Software/Language Skill","Docker","LinkedIn",290,3.37
"Software/Language Skill","Scala","LinkedIn",1040,12.08
"Software/Language Skill","Aws","LinkedIn",947,11
"Software/Language Skill","Mongodb","LinkedIn",251,2.92
"Software/Language Skill","Sas","LinkedIn",1713,19.9
"Software/Language Skill","D3","LinkedIn",353,4.1
"General Skill","Deep learning","LinkedIn",1310,15.21
"Software/Language Skill","R","LinkedIn",4553,52.88
"General Skill","Computer science","LinkedIn",4517,52.46
"Software/Language Skill","Excel","LinkedIn",701,8.14
"Software/Language Skill","C","LinkedIn",795,9.23
"Software/Language Skill","Spark","LinkedIn",2169,25.19
"General Skill","Software development","LinkedIn",732,8.5
"Software/Language Skill","Nosql","LinkedIn",598,6.95
"General Skill","Ai composite","LinkedIn",1568,18.21
"Software/Language Skill","Hive","LinkedIn",1182,13.73
"Software/Language Skill","Keras","LinkedIn",329,3.82
"Software/Language Skill","Pandas","LinkedIn",421,4.89
"Software/Language Skill","Pytorch","LinkedIn",214,2.49
"Software/Language Skill","C#","LinkedIn",324,3.76
"Software/Language Skill","C++","LinkedIn",1024,11.89
"Software/Language Skill","Azure","LinkedIn",578,6.71
"General Skill","Visualization","LinkedIn",1879,21.82
"Software/Language Skill","Cassandra","LinkedIn",236,2.74
"General Skill","Machine learning","LinkedIn",5701,66.21
"Software/Language Skill","Hadoop","LinkedIn",2142,24.88
"General Skill","Project management","LinkedIn",476,5.53
"Software/Language Skill","Caffe","LinkedIn",206,2.39
"General Skill","Software engineering","LinkedIn",413,4.8
"Software/Language Skill","Spss","LinkedIn",452,5.25
"Software/Language Skill","Matlab","LinkedIn",806,9.36
"Software/Language Skill","Python","LinkedIn",6347,73.72
"Software/Language Skill","Numpy","LinkedIn",387,4.49
"Software/Language Skill","Git","LinkedIn",282,3.28
"Software/Language Skill","Linux","LinkedIn",601,6.98
"General Skill","Statistics","LinkedIn",4893,56.83
"General Skill","Nlp composite","LinkedIn",1212,14.08
"General Skill","Neural networks","LinkedIn",671,7.79
"Software/Language Skill","Perl","LinkedIn",309,3.59
"Software/Language Skill","Java","LinkedIn",1944,22.58
"General Skill","Mathematics","LinkedIn",2605,30.26
"Software/Language Skill","Tableau","LinkedIn",1216,14.12
"Software/Language Skill","Pig","LinkedIn",367,4.26
"Software/Language Skill","Javascript","Indeed",245,4.77
"Software/Language Skill","Scikit-learn","Indeed",402,7.82
"Software/Language Skill","Sql","Indeed",2628,51.15
"General Skill","Analysis","Indeed",3500,68.12
"General Skill","Data engineering","Indeed",339,6.6
"Software/Language Skill","Mysql","Indeed",233,4.53
"General Skill","Communication","Indeed",2344,45.62
"Software/Language Skill","Hbase","Indeed",219,4.26
"Software/Language Skill","Tensorflow","Indeed",661,12.86
"Software/Language Skill","Docker","Indeed",240,4.67
"Software/Language Skill","Scala","Indeed",739,14.38
"Software/Language Skill","Aws","Indeed",791,15.4
"Software/Language Skill","Mongodb","Indeed",196,3.81
"Software/Language Skill","Sas","Indeed",1134,22.07
"Software/Language Skill","D3","Indeed",149,2.9
"General Skill","Deep learning","Indeed",979,19.05
"Software/Language Skill","R","Indeed",3106,60.45
"General Skill","Computer science","Indeed",2739,53.31
"Software/Language Skill","Excel","Indeed",569,11.07
"Software/Language Skill","C","Indeed",492,9.58
"Software/Language Skill","Spark","Indeed",1551,30.19
"General Skill","Software development","Indeed",627,12.2
"Software/Language Skill","Nosql","Indeed",436,8.49
"General Skill","Ai composite","Indeed",1125,21.9
"Software/Language Skill","Hive","Indeed",830,16.15
"Software/Language Skill","Keras","Indeed",253,4.92
"Software/Language Skill","Pandas","Indeed",330,6.42
"Software/Language Skill","Pytorch","Indeed",143,2.78
"Software/Language Skill","C#","Indeed",245,4.77
"Software/Language Skill","C++","Indeed",765,14.89
"Software/Language Skill","Azure","Indeed",416,8.1
"General Skill","Visualization","Indeed",1413,27.5
"Software/Language Skill","Cassandra","Indeed",174,3.39
"General Skill","Machine learning","Indeed",3439,66.93
"Software/Language Skill","Hadoop","Indeed",1578,30.71
"General Skill","Project management","Indeed",397,7.73
"Software/Language Skill","Caffe","Indeed",149,2.9
"General Skill","Software engineering","Indeed",295,5.74
"Software/Language Skill","Spss","Indeed",330,6.42
"Software/Language Skill","Matlab","Indeed",677,13.18
"Software/Language Skill","Python","Indeed",3818,74.31
"Software/Language Skill","Numpy","Indeed",257,5
"Software/Language Skill","Git","Indeed",261,5.08
"Software/Language Skill","Linux","Indeed",517,10.06
"General Skill","Statistics","Indeed",2992,58.23
"General Skill","Nlp composite","Indeed",910,17.71
"General Skill","Neural networks","Indeed",485,9.44
"Software/Language Skill","Perl","Indeed",258,5.02
"Software/Language Skill","Java","Indeed",1377,26.8
"General Skill","Mathematics","Indeed",1961,38.17
"Software/Language Skill","Tableau","Indeed",1012,19.7
"Software/Language Skill","Pig","Indeed",296,5.76
"Software/Language Skill","Javascript","SimplyHired",214,5.59
"Software/Language Skill","Scikit-learn","SimplyHired",294,7.68
"Software/Language Skill","Sql","SimplyHired",2056,53.7
"General Skill","Analysis","SimplyHired",2668,69.68
"General Skill","Data engineering","SimplyHired",276,7.21
"Software/Language Skill","Mysql","SimplyHired",187,4.88
"General Skill","Communication","SimplyHired",1791,46.77
"Software/Language Skill","Hbase","SimplyHired",167,4.36
"Software/Language Skill","Tensorflow","SimplyHired",501,13.08
"Software/Language Skill","Docker","SimplyHired",148,3.87
"Software/Language Skill","Scala","SimplyHired",589,15.38
"Software/Language Skill","Aws","SimplyHired",607,15.85
"Software/Language Skill","Mongodb","SimplyHired",165,4.31
"Software/Language Skill","Sas","SimplyHired",910,23.77
"Software/Language Skill","D3","SimplyHired",113,2.95
"General Skill","Deep learning","SimplyHired",675,17.63
"Software/Language Skill","R","SimplyHired",2393,62.5
"General Skill","Computer science","SimplyHired",2093,54.66
"Software/Language Skill","Excel","SimplyHired",438,11.44
"Software/Language Skill","C","SimplyHired",384,10.03
"Software/Language Skill","Spark","SimplyHired",1167,30.48
"General Skill","Software development","SimplyHired",481,12.56
"Software/Language Skill","Nosql","SimplyHired",387,10.11
"General Skill","Ai composite","SimplyHired",811,21.18
"Software/Language Skill","Hive","SimplyHired",637,16.64
"Software/Language Skill","Keras","SimplyHired",205,5.35
"Software/Language Skill","Pandas","SimplyHired",282,7.36
"Software/Language Skill","Pytorch","SimplyHired",131,3.42
"Software/Language Skill","C#","SimplyHired",182,4.75
"Software/Language Skill","C++","SimplyHired",580,15.15
"Software/Language Skill","Azure","SimplyHired",285,7.44
"General Skill","Visualization","SimplyHired",1153,30.11
"Software/Language Skill","Cassandra","SimplyHired",146,3.81
"General Skill","Machine learning","SimplyHired",2561,66.88
"Software/Language Skill","Hadoop","SimplyHired",1164,30.4
"General Skill","Project management","SimplyHired",330,8.62
