AcademicYearName	ISD	ISDName	DistrictCode	DistrictName	BuildingCode	BuildingName	DistrictNCESId	BuildingNCESId	EntityTypeCategoryName	GeographicDistrictCode	GeographicDistrictName	GeographicDistrictNCESId	ActualGradeListSearchable	Addr1Street	Addr1City	Addr1Zip	Latitude	Longitude
2015-2016	3000	Allegan Area Educational Service Agency	3902	Outlook Academy	9085	Outlook Academy	2600274	260027401489	PSA	3030	Allegan Public Schools	2602220	"6,7,8,9,10,11,12"	2879 116TH AVE	ALLEGAN	490109004	42.534812	-85.827079
2015-2016	9000	Bay-Arenac ISD	9903	Bay City Academy	8626	North Central Academy Campus	2601000	260100001050	PSA	5010	Alba Public Schools	2602040	"KG,1,2,3,4,5,6,7,8,9,10,11,12"	5055 COREY RD	MANCELONA	496599467	44.95318054	-84.9888677
2015-2016	9000	Bay-Arenac ISD	9901	Bay-Arenac Community High School	5453	Bay-Arenac Community High School	2600067	260006700463	PSA	9050	Essexville-Hampton Public Schools	2613530	"9,10,11,12"	805 LANGSTAFF ST	ESSEXVILLE	487321367	43.61220172	-83.83947122
2015-2016	9000	Bay-Arenac ISD	9902	State Street Academy	8856	State Street Academy	2600264	260026401327	PSA	9010	Bay City School District	2604260	"KG,1,2,3,4,5"	1110 STATE ST	BAY CITY	487063669	43.61685762	-83.89435673
2015-2016	11000	Berrien RESA	11901	Countryside Academy	8450	Countryside Academy - Middle/High School	2600142	260014200804	PSA	11010	Benton Harbor Area Schools	2604830	"6,7,8,9,10,11,12"	4800 MEADOWBROOK RD	BENTON HARBOR	490229629	42.07932819	-86.34193063
2015-2016	11000	Berrien RESA	11903	Benton Harbor Charter School Academy	8706	Benton Harbor Charter School Academy	2600191	260019101099	PSA	11010	Benton Harbor Area Schools	2604830	"KG,1,2,3,4,5,6,7,8"	455 RIVERVIEW DR	BENTON HARBOR	490225080	42.11041447	-86.46530044
2015-2016	12000	Branch ISD	12901	Pansophia Academy	8250	Pansophia Academy	2600068	260006800474	PSA	12010	Coldwater Community Schools	2610140	"KG,1,2,3,4,5,6,7,8,9,10,11,12"	52 ABBOTT AVE	COLDWATER	490361430	41.95012197	-84.99815134
2015-2016	13000	Calhoun ISD	13901	Arbor Academy	8615	Arbor Academy	2600181	260018101053	PSA	13090	Lakeview Sch. District (Calhoun)	2620850	"KG-Part,1,2,3,4,5,6"	55 ARBOR ST	BATTLE CREEK	490152903	42.30200675	-85.21388005
2015-2016	13000	Calhoun ISD	13902	Endeavor Charter Academy	8643	Endeavor Charter Academy	2600192	260019201100	PSA	13020	Battle Creek Public Schools	2600005	"KG,1,2,3,4,5,6,7,8"	380 HELMER RD N	BATTLE CREEK	490377776	42.3251566	-85.2389561
2015-2016	13000	Calhoun ISD	13903	Marshall Academy	8817	Marshall Academy	2600250	260025001225	PSA	13110	Marshall Public Schools	2622970	"KG,1,2,3,4,5,6,7,8,9,10,11,12"	18203 HOMER RD	MARSHALL	490688718	42.25110647	-84.9407566
2015-2016	13000	Calhoun ISD	13904	Battle Creek Area Learning Center	8854	Battle Creek Area Learning Center	2600275	260027501616	PSA	13090	Lakeview Sch. District (Calhoun)	2620850	"9,10,11,12"	15 ARBOR ST	BATTLE CREEK	490152903	42.3036592	-85.21390802
2015-2016	15000	Charlevoix-Emmet ISD	15901	Concord Academy - Boyne	8290	Concord Academy - Boyne	2600069	260006900485	PSA	15030	Boyne Falls Public School District	2606510	"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12"	401 EAST DIETZ RD	BOYNE CITY	497129653	45.1903859	-84.97153972
2015-2016	15000	Charlevoix-Emmet ISD	15902	Charlevoix Montessori Academy for the Arts	8340	Charlevoix Montessori Academy for the Arts	2600070	260007000486	PSA	15050	Charlevoix Public Schools	2608730	"KG,1,2,3,4,5,6,7,8,9,10,11,12"	115 WEST HURLBUT ST	CHARLEVOIX	497201510	45.31406207	-85.25904946
2015-2016	17000	Eastern Upper Peninsula ISD	17901	Joseph K. Lumsden Bahweting Anishnabe Academy	8063	Joseph K. Lumsden Bahweting Anishnabe Academy	2600071	260007100492	PSA	17010	Sault Ste. Marie Area Schools	2630990	"KG,1,2,3,4,5,6,7,8"	1301 MARQUETTE AVE	SAULT SAINTE MARIE	497839533	46.48133991	-84.33186066
2015-2016	23000	Eaton RESA	23901	Island City Academy	8322	Island City Academy	2600073	260007300501	PSA	23050	Eaton Rapids Public Schools	2612690	"KG-Part,1,2,3,4,5,6,7,8"	6421 CLINTON RD	EATON RAPIDS	48827	42.47364	-84.65965
2015-2016	15000	Charlevoix-Emmet ISD	24901	Concord Academy - Petoskey	8210	Concord Academy - Petoskey	2600074	260007400502	PSA	24070	Public Schools of Petoskey	2627930	"KG,KG-Part,1,2,3,4,5,6,7,8,9,10,11,12"	2468 ATKINS RD	PETOSKEY	497709003	45.36282563	-84.92061847
2015-2016	25000	Genesee ISD	25902	Woodland Park Academy	4074	Woodland Park Academy	2600076	260007600517	PSA	25030	Grand Blanc Community Schools	2616350	"KG,1,2,3,4,5,6,7,8"	2083 GRAND BLANC RD	GRAND BLANC	48439	42.91532	-83.67022
2015-2016	25000	Genesee ISD	25903	Grand Blanc Academy	8705	Grand Blanc Academy	2600193	260019301102	PSA	25030	Grand Blanc Community Schools	2616350	"KG,1,2,3,4,5,6,7,8"	5135 EAST HILL RD	GRAND BLANC	484397637	42.94534362	-83.60664656
2015-2016	25000	Genesee ISD	25904	Northridge Academy	8721	Northridge Academy	2600194	260019401103	PSA	25010	"Flint, School District of the City of"	2614520	"KG,1,2,3,4,5,6,7,8"	530 W PIERSON RD	FLINT	485053114	43.061085	-83.710504
2015-2016	25000	Genesee ISD	25905	International Academy of Flint	8732	International Academy of Flint (K-12)	2600195	260019501104	PSA	25010	"Flint, School District of the City of"	2614520	"KG,1,2,3,4,5,6,7,8,9,10,11,12"	2820 SOUTH SAGINAW ST	FLINT	485035708	42.99696003	-83.67816847
2015-2016	25000	Genesee ISD	25907	Linden Charter Academy	8739	Linden Charter Academy	2600197	260019701106	PSA	25210	Westwood Heights Schools	2635970	"KG,1,2,3,4,5,6,7,8"	3244 NORTH LINDEN RD	FLINT	485041753	43.04976933	-83.77253416
2015-2016	25000	Genesee ISD	25909	Burton Glen Charter Academy	8766	Burton Glen Charter Academy	2600251	260025101229	PSA	25130	Atherton Community Schools	2603540	"KG,1,2,3,4,5,6,7,8"	4171 EAST ATHERTON RD	BURTON	485191435	42.98971096	-83.63106612
2015-2016	28000	Traverse Bay Area ISD	28901	Woodland School	8342	Woodland School	2600078	260007800528	PSA	28010	Traverse City Area Public Schools	2633870	"KG,1,2,3,4,5,6,7,8"	7224 SUPPLY RD	TRAVERSE CITY	496869416	44.69318999	-85.43216168
2015-2016	28000	Traverse Bay Area ISD	28902	Grand Traverse Academy	8703	Grand Traverse Academy	2600265	260026501343	PSA	28010	Traverse City Area Public Schools	2633870	"KG,1,2,3,4,5,6,7,8,9,10,11,12"	1245 HAMMOND RD E	TRAVERSE CITY	496869000	44.71750404	-85.55337083
2015-2016	30000	Hillsdale ISD	30901	Hillsdale Preparatory School	8482	Hillsdale Preparatory School	2600143	260014300844	PSA	30020	Hillsdale Community Schools	2618390	"KG,1,2,3,4,5,6,7,8"	160 MECHANIC RD	HILLSDALE	492421053	41.93474139	-84.64493487
2015-2016	30000	Hillsdale ISD	30902	Will Carleton Charter School Academy	8601	Will Carleton Charter School Academy	2600182	260018201057	PSA	30020	Hillsdale Community Schools	2618390	"KG,1,2,3,4,5,6,7,8,9,10,11,12"	2001 WEST HALLETT RD	HILLSDALE	492421959	41.91253894	-84.6609667
2015-2016	33000	Ingham ISD	33901	Cole Academy	8211	Cole Academy	2600079	260007900543	PSA	33020	Lansing Public School District	2621150	"KG,1,2,3,4,5,6"	1915 WEST MOUNT HOPE AVE	LANSING	489102434	42.71194111	-84.57781587
2015-2016	33000	Ingham ISD	33902	El-Hajj Malik El-Shabazz Academy	8249	El-Hajj Malik El-Shabazz Academy	2600080	260008000544	PSA	33020	Lansing Public School District	2621150	"KG-Part,1,2,3,4,5,6"	1028 WEST BARNES AVE	LANSING	489101308	42.71509342	-84.56633618
