SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,EntityType,LOCALE_NAME,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"15 - 16 School Year","","Statewide","","All Districts","","All Buildings","State","","1540005","792765","747240","10298","48291","280536","113763","1353","1033522","52242","113304","106062","107793","111558","111267","110266","113735","113362","113641","127137","125841","114917","114762","713295","196845","90121"
"15 - 16 School Year","03","Allegan Area Educational Service Agency","","All Districts","","All Buildings","ISD","","14275","7382","6893","92","103","216","1294","15","12243","312","1205","1034","1023","1069","1083","996","1085","1057","1088","1191","1195","1129","1071","6135","1498","362"
"15 - 16 School Year","04","Alpena-Montmorency-Alcona ESD","","All Districts","","All Buildings","ISD","","5431","2798","2633","36","26","34","92","2","5134","107","399","389","367","378","387","366","400","380","446","498","541","420","452","3150","615","25"
"15 - 16 School Year","08","Barry ISD","","All Districts","","All Buildings","ISD","","4014","2036","1978","25","16","27","147","3","3730","66","323","256","271","280","270","317","306","325","284","350","323","309","384","1885","602","33"
"15 - 16 School Year","09","Bay-Arenac ISD","","All Districts","","All Buildings","ISD","","16579","8600","7979","117","95","449","1026","4","14390","498","1156","1159","1168","1235","1293","1216","1254","1294","1256","1544","1369","1207","1341","8256","2383","149"
"15 - 16 School Year","11","Berrien RESA","","All Districts","","All Buildings","ISD","","25745","13269","12476","133","425","5179","2254","47","16471","1236","1983","1744","1752","1843","1849","1783","1893","1819","1867","2594","2603","2068","1810","14300","2798","1220"
"15 - 16 School Year","12","Branch ISD","","All Districts","","All Buildings","ISD","","5666","2910","2756","14","54","35","522","0","4972","69","498","432","406","440","437","414","427","426","408","463","431","426","436","3097","665","565"
"15 - 16 School Year","72","C.O.O.R. ISD","","All Districts","","All Buildings","ISD","","7436","3880","3556","46","49","49","187","10","6983","112","543","516","518","542","572","527","565","547","551","659","702","609","555","4704","1118","<10"
"15 - 16 School Year","13","Calhoun Intermediate School District","","All Districts","","All Buildings","ISD","","23425","12032","11393","139","659","3039","1530","30","16592","1436","1802","1730","1763","1899","1808","1804","1801","1749","1814","1949","1964","1665","1606","12055","3195","789"
"15 - 16 School Year","15","Charlevoix-Emmet ISD","","All Districts","","All Buildings","ISD","","9034","4686","4348","300","76","65","227","7","7905","454","683","587","613","670","650","619","673","742","715","728","759","772","793","3696","1084","<10"
"15 - 16 School Year","16","Cheb-Otsego-Presque Isle ESD","","All Districts","","All Buildings","ISD","","8376","4266","4110","85","33","54","150","7","7658","389","559","546","580","619","615","609","671","625","674","786","716","686","661","4526","821","<10"
"15 - 16 School Year","18","Clare-Gladwin Regional Education Service District","","All Districts","","All Buildings","ISD","","7145","3673","3472","40","33","52","163","3","6720","134","520","531","514","574","509","506","523","508","565","594","610","574","577","3871","1106","<10"
"15 - 16 School Year","19","Clinton County RESA","","All Districts","","All Buildings","ISD","","10130","5172","4958","32","94","130","636","10","8944","284","776","627","656","672","729","700","755","809","858","874","878","830","926","2803","986","93"
"15 - 16 School Year","31","Copper Country ISD","","All Districts","","All Buildings","ISD","","6635","3420","3215","294","83","35","46","4","5964","209","508","481","464","501","483","519","530","514","474","512","515","541","580","3070","702","<10"
"15 - 16 School Year","21","Delta-Schoolcraft ISD","","All Districts","","All Buildings","ISD","","6522","3375","3147","649","25","30","73","5","5605","135","567","447","425","512","492","441","502","490","519","532","521","534","523","3125","767","<10"
"15 - 16 School Year","22","Dickinson-Iron ISD","","All Districts","","All Buildings","ISD","","5038","2558","2480","34","33","11","106","5","4678","171","433","349","341","340","356","355","382","371","407","438","398","411","437","2440","786","<10"
"15 - 16 School Year","17","Eastern Upper Peninsula ISD","","All Districts","","All Buildings","ISD","","6995","3627","3368","2447","50","124","68","14","4193","99","539","515","493","541","498","508","532","542","540","601","556","561","547","3553","909","<10"
"15 - 16 School Year","23","Eaton RESA","","All Districts","","All Buildings","ISD","","13126","6743","6383","59","229","527","742","17","11240","312","986","797","917","806","851","851","946","984","1060","1278","1296","1178","1129","5233","1742","129"
"15 - 16 School Year","25","Genesee ISD","","All Districts","","All Buildings","ISD","","67150","34509","32641","252","557","17243","2718","43","43235","3102","5219","4881","4864","5184","5024","4950","5127","5173","5042","5583","5749","5016","5058","36060","9015","990"
"15 - 16 School Year","27","Gogebic-Ontonagon ISD","","All Districts","","All Buildings","ISD","","2203","1125","1078","110","5","14","25","0","1990","59","155","145","172","184","146","161","183","151","156","169","194","195","180","1245","368","<10"
"15 - 16 School Year","29","Gratiot-Isabella RESD","","All Districts","","All Buildings","ISD","","13164","6853","6311","506","132","279","860","11","11004","372","1134","930","901","908","966","929","972","962","970","1182","1145","1056","1036","5932","2132","157"
"15 - 16 School Year","30","Hillsdale ISD","","All Districts","","All Buildings","ISD","","6015","3145","2870","16","29","54","157","0","5654","105","450","408","412","433","407","464","491","458","497","485","565","471","448","3170","677","15"
"15 - 16 School Year","32","Huron ISD","","All Districts","","All Buildings","ISD","","4209","2120","2089","19","34","36","117","5","3965","33","354","280","275","283","287","301","279","329","292","338","374","386","416","2023","658","<10"
"15 - 16 School Year","33","Ingham ISD","","All Districts","","All Buildings","ISD","","44247","22711","21536","221","2500","8267","4880","36","25270","3073","3311","3368","3297","3226","3392","3305","3346","3350","3300","3847","3775","3462","3136","20163","5486","2543"
"15 - 16 School Year","34","Ionia ISD","","All Districts","","All Buildings","ISD","","10236","5348","4888","16","40","88","791","2","9083","216","861","710","769","741","759","726","828","763","774","796","780","775","905","4745","1518","235"
"15 - 16 School Year","35","Iosco RESA","","All Districts","","All Buildings","ISD","","3860","1965","1895","31","17","30","99","1","3582","100","265","272","254","281","267","281","295","301","297","330","358","316","321","2552","586","11"
"15 - 16 School Year","38","Jackson ISD","","All Districts","","All Buildings","ISD","","23392","12129","11263","69","227","2489","970","23","18350","1264","2075","1617","1755","1688","1792","1755","1827","1730","1761","2028","1920","1685","1636","11224","3218","191"
"15 - 16 School Year","39","Kalamazoo RESA","","All Districts","","All Buildings","ISD","","34540","17756","16784","88","899","6644","2720","25","21635","2529","2895","2465","2587","2678","2617","2676","2604","2491","2557","2944","2830","2437","2560","15563","3803","1353"
"15 - 16 School Year","41","Kent ISD","","All Districts","","All Buildings","ISD","","107160","55127","52033","328","3608","14565","18694","97","64931","4937","8928","7920","7960","8466","8166","8217","8187","7999","7998","8841","8676","7924","7392","50185","12122","11779"
"15 - 16 School Year","44","Lapeer ISD","","All Districts","","All Buildings","ISD","","12219","6391","5828","45","65","91","836","10","10941","231","891","746","809","851","855","901","927","1011","988","1000","1020","1081","1090","5266","1494","350"
"15 - 16 School Year","46","Lenawee ISD","","All Districts","","All Buildings","ISD","","15349","7933","7416","46","97","341","2075","5","12395","390","1241","1096","1099","1162","1180","1141","1143","1172","1183","1241","1268","1162","1216","6724","2064","166"
"15 - 16 School Year","14","Lewis Cass ISD","","All Districts","","All Buildings","ISD","","6790","3444","3346","44","52","427","559","4","5152","552","491","505","495","501","505","475","554","529","508","626","568","503","504","3762","828","288"
"15 - 16 School Year","47","Livingston ESA","","All Districts","","All Buildings","ISD","","26703","13860","12843","141","273","170","681","37","25103","298","1868","1597","1770","1797","1825","2062","2001","2111","2100","2288","2392","2412","2347","5335","2970","170"
"15 - 16 School Year","50","Macomb ISD","","All Districts","","All Buildings","ISD","","131997","67597","64400","329","5164","24054","3845","194","93481","4930","8963","8893","9196","9560","9787","9601","10247","10129","10345","11440","11239","10922","10846","55716","16429","10540"
"15 - 16 School Year","51","Manistee ISD","","All Districts","","All Buildings","ISD","","5256","2569","2687","123","42","474","306","4","4153","154","285","315","291","302","310","343","361","454","479","736","493","432","446","2919","781","19"
"15 - 16 School Year","52","Marquette-Alger RESA","","All Districts","","All Buildings","ISD","","9227","4734","4493","313","42","75","165","15","8155","462","768","707","696","735","710","647","691","626","683","778","707","677","753","3262","1447","<10"
"15 - 16 School Year","54","Mecosta-Osceola ISD","","All Districts","","All Buildings","ISD","","8440","4341","4099","90","53","260","215","9","7516","297","617","589","601","605","631","556","588","615","673","804","788","652","682","4759","1426","16"
"15 - 16 School Year","55","Menominee ISD","","All Districts","","All Buildings","ISD","","2610","1353","1257","22","9","15","59","7","2458","40","219","163","177","182","182","177","208","214","209","229","222","227","193","1248","303","10"
