Table with row headings in column A and column headings in rows 4 to 8.,,,,,,,,,,
Poverty Thresholds for 2016 by Size of Family and Number of Related Children Under 18 Years,,,,,,,,,,
,,,,,,,,,,
,,Related children under 18 years,,,,,,,,
    ,,,,,,,,,,
Size of family unit,Weighted,None,One,Two,Three,Four,Five,Six,Seven,Eight or more
,average,,,,,,,,,
,thresholds,,,,,,,,,
,,,,,,,,,,
One person (unrelated individual):,"12,228",,,,,,,,,
  Under age 65.......................………,"12,486","12,486",,,,,,,,
  Aged 65 and older.................………,"11,511","11,511",,,,,,,,
,,,,,,,,,,
Two people:,"15,569",,,,,,,,,
  Householder under age 65…...........,"16,151","16,072","16,543",,,,,,,
  Householder aged 65 and older...….,"14,522","14,507","16,480",,,,,,,
,,,,,,,,,,
Three people.......................………………………,"19,105","18,774","19,318","19,337",,,,,,
Four people........................……………………….,"24,563","24,755","25,160","24,339","24,424",,,,,
Five people........................………………………,"29,111","29,854","30,288","29,360","28,643","28,205",,,,
Six people.........................………………………..,"32,928","34,337","34,473","33,763","33,082","32,070","31,470",,,
Seven people.......................……………………..,"37,458","39,509","39,756","38,905","38,313","37,208","35,920","34,507",,
Eight people.......................………………………,"41,781","44,188","44,578","43,776","43,072","42,075","40,809","39,491","39,156",
Nine people or more................……………………,"49,721","53,155","53,413","52,702","52,106","51,127","49,779","48,561","48,259","46,400"
Source:  U.S. Census Bureau.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
